Year,Annual Births,Annual Deaths,Emigrants,Immigrants,Natural Increase,Net Migration,Population,Population Change,GDP
1960,,,,,27500,-41000,2832100,-13500,879443520
1961,,,,,26200,-40000,2818300,-13800,946867776
1962,,,,,26800,-15000,2830100,11800,1025019008
1963,,,,,27900,-8000,2850000,19900,1102334336
1964,,,,,30800,-17000,2863800,13800,1254596480
1965,,,,,32000,-20000,2875800,12000,1335812224
1966,,,,,29200,-21000,2884000,8200,1407611520
1967,,,,,28700,-13000,2899700,15700,1537325184
1968,,,,,28500,-16000,2912200,12500,1734561280
1969,,,,,28000,-15000,2925200,13000,2003583488
1970,,,,,29700,-5000,2949900,24700,2325921000
1971,,,,,33300,-5000,2978200,28300,2660267000
1972,,,,,35200,11000,3024400,46200,3212102000
1973,,,,,35600,13000,3073000,48600,3877492000
1974,,,,,34900,16000,3123900,50900,4288785000
1975,,,,,33300,20000,3177200,53300,5443706000
1976,,,,,34600,16000,3227800,50600,6680024000
1977,,,,,34100,10000,3271900,44100,8187667000
1978,,,,,35100,7000,3314000,42100,9699903000
1979,,,,,38200,16000,3368200,54200,11365315000
1980,,,,,40800,-8000,3401000,32800,13438000000
1981,,,,,40400,2000,3443400,42400,16306713000
1982,,,,,37600,-1000,3480000,36600,19211314000
1983,,,,,38000,-14000,3504000,24000,21216671000
1984,,,,,34000,-9000,3529000,25000,23552928000
1985,,,,,31000,-20000,3540000,11000,25538905000
1986,,,,,28600,-28000,3540600,600,27095070000
1987,61200,32200,40200,17200,29000,-23000,3546500,5900,28981691000
1988,57800,31600,61100,19200,26200,-41900,3530700,-15800,31483709000
1989,53600,31000,70600,26700,22600,-43900,3509500,-21200,35153676000
1990,51900,32800,56300,33300,19100,-22900,3505800,-3700,37851934000
1991,53100,31100,35300,33300,22000,-2000,3525700,19900,39277360000
1992,52800,31400,33400,40700,21400,7400,3554500,28800,41732005000
1993,50400,30400,35100,34700,20000,-400,3574100,19600,45073789000
1994,49100,32600,34800,30100,16600,-4700,3585900,11800,48475910000
1995,48400,31200,33100,31200,17200,-1900,3601300,15400,54758740000
1996,48800,32000,31200,39200,16700,8000,3626100,24800,60147568000
1997,50700,31700,25300,44500,19000,19200,3664300,38200,69400729000
1998,52700,31200,28600,46000,21500,17400,3703100,38800,80430814000
1999,53700,32400,31500,48900,21200,17300,3741600,38500,92790527000
2000,54000,32100,26600,52600,21800,26000,3789500,47900,1.08495E+11
2001,55100,30200,26200,59000,24800,32800,3847200,57700,1.22089E+11
2002,58100,29300,25600,66900,28800,41300,3917200,70000,1.35998E+11
2003,60800,28900,29300,60000,31900,30700,3979900,62600,1.45577E+11
2004,62000,28600,26500,58500,33300,32000,4045200,65300,1.5626E+11
2005,61400,27900,29400,84600,33500,55100,4133800,88600,1.70307E+11
2006,61200,27000,36000,107800,34200,71800,4232900,106000,1.84916E+11
2007,66600,28400,46300,151100,38200,104800,4375800,142900,1.97069E+11
2008,73000,28000,49200,113500,44900,64300,4485100,109200,1.87283E+11
2009,75300,28600,72000,73700,46700,1600,4533400,48300,1.6952E+11
2010,77200,28400,69200,41800,48800,-27500,4554800,21400,1.67391E+11
2011,75100,27700,80600,53300,47500,-27400,4574900,20100,1.71703E+11
2012,73200,28700,83000,57300,44500,-25700,4593700,18800,1.75615E+11
2013,69400,29800,81300,62700,39600,-18700,4614700,21000,1.79458E+11
2014,68400,29200,75000,66500,39200,-8500,4645400,30800,1.95085E+11
2015,66400,29900,70000,75900,36500,5900,4687800,42300,2.62976E+11
2016,65400,29800,66200,82300,35600,16200,4739600,51800,2.70205E+11
2017,63400,31300,56100,95300,32100,39200,4810900,71300,2.97763E+11
2018,61600,32000,51600,96000,29600,44400,4884900,74000,3.26631E+11
2019,60500,30900,53100,97100,29600,44000,4958500,73600,3.56705E+11
2020,59100,32400,50900,95600,26700,44700,5029900,71400,3.72836E+11
2021,57300,34300,52300,74100,23000,21800,5074700,44800,4.26283E+11
2022,59700,33600,56100,107800,26100,51700,5184000,77800,5.02584E+11
