Year,Population,Population Change,Annual Births,Annual Deaths,Natural Increase,Immigrants,Emigrants,Net Migration,Male,Female,Both Sexes,GDP,GNP,GVA
1998,3703100.0,38900,52700,31200,21500,46000,28600,17400,1838900,1864200,3703100,125594000000,117567000000,112817000000
1999,3741800.0,38700,53700,32400,21300,48900,31500,17400,1858600,1883000,3741600,138819000000,127088000000,123893000000
2000,3789700.0,47900,54000,32100,21900,52600,26600,26000,1882900,1906600,3789500,151873000000,138791000000,135161000000
2001,3847400.0,57700,55100,30200,24900,59000,26200,32800,1913100,1934100,3847200,159932000000,141356000000,143313000000
2002,3917500.0,70100,58100,29300,28800,66900,25600,41300,1946200,1971000,3917200,169366000000,144707000000,152258000000
2003,3980100.0,62600,60800,28900,31900,60000,29300,30700,1976900,2002900,3979800,174471000000,151555000000,156260000000
2004,4045500.0,65400,62000,28600,33400,58500,26500,32000,2011900,2033300,4045200,186315000000,162276000000,166155000000
2005,4134200.0,88700,61400,27900,33500,84600,29400,55200,2061800,2072000,4133800,197008000000,171101000000,174006000000
2006,4240200.0,106000,61200,27000,34200,107800,36000,71800,2117300,2115600,4232900,206834000000,180814000000,181212000000
2007,4383200.0,143000,66600,28400,38200,151100,46300,104800,2191300,2184600,4375900,217818000000,187527000000,192763000000
2008,4492500.0,109300,73000,28000,45000,113500,49200,64300,2238600,2246500,4485100,208051000000,180139000000,187712000000
2009,4540900.0,48400,75300,28600,46700,73700,72000,1700,2257300,2276100,4533400,197450000000,165003000000,180811000000
2010,4562300.0,21400,77200,28400,48800,41800,69200,-27400,2262200,2292600,4554800,200772000000,171011000000,184048000000
2011,4582400.0,20100,75100,27700,47400,53300,80600,-27300,2270500,2304400,4574900,203343000000,166763000000,187495000000
2012,4601200.0,18800,73200,28700,44500,57300,83000,-25700,2275000,2318700,4593700,203080000000,166053000000,187102000000
2013,4622200.0,21000,69400,29800,39600,62700,81300,-18600,2286100,2328500,4614600,205466000000,175230000000,188780000000
2014,4652900.0,30700,68400,29200,39200,66500,75000,-8500,2299000,2346400,4645400,223606000000,191298000000,205224000000
2015,4695300.0,42400,66400,29900,36500,75900,70000,5900,2317700,2370100,4687800,278334000000,215863000000,258944000000
2016,4747000.0,51700,65400,29800,35600,82300,66200,16100,2346500,2393100,4739600,283248000000,231361000000,262607000000
2017,4818300.0,71300,63400,31300,32100,95300,56100,39200,2380800,2430100,4810900,309621000000,246086000000,288222000000
2018,4892300.0,74000,61600,32000,29600,96000,51600,44400,2419500,2465400,4884900,335849000000,260724000000,313888000000
2019,4965900.0,73600,60500,30900,29600,97100,53100,44000,2456300,2502200,4958500,353641000000,273940000000,330084000000
2020,5037300.0,71400,59100,32400,26700,95600,50900,44700,2491800,2538100,5029900,377042000000,283779000000,356769000000
2021,5082100.0,44800,57300,34300,23000,74100,52300,21800,2514000,2560600,5074600,434069000000,323313000000,409387000000
2022,5159900.0,77800,59700,33600,26100,107800,56100,51700,2562000,2622000,5184000,475016000000,335904000000,450216000000
