Year,Female,Male
1998,1864200.0,1838900.0
1999,1883000.0,1858600.0
2000,1906600.0,1882900.0
2001,1934100.0,1913100.0
2002,1971000.0,1946200.0
2003,2002900.0,1976900.0
2004,2033300.0,2011900.0
2005,2072000.0,2061800.0000000002
2006,2115600.0,2117300.0
2007,2184600.0,2191300.0
2008,2246500.0,2238600.0
2009,2276100.0,2257300.0
2010,2292600.0,2262200.0
2011,2304400.0,2270500.0
2012,2318700.0,2275000.0
2013,2328500.0,2286100.0
2014,2346400.0,2299000.0
2015,2370100.0,2317700.0
2016,2393100.0,2346500.0
2017,2430100.0,2380800.0
2018,2465400.0,2419500.0
2019,2502200.0,2456300.0
2020,2538100.0,2491800.0
2021,2560600.0,2514000.0
2022,2622000.0,2562000.0
