,Year,Month,Passengers,Passengers (Mn.),Season,Quarter
0,2014,January,8991175.0,8.99,Winter,Q1
1,2014,February,9117393.0,9.12,Winter,Q1
2,2014,March,10327497.0,10.33,Spring,Q1
3,2014,April,9648830.0,9.65,Spring,Q2
4,2014,May,9439479.0,9.44,Spring,Q2
5,2014,June,9096253.0,9.1,Summer,Q2
6,2014,July,9250780.0,9.25,Summer,Q3
7,2014,August,9348448.0,9.35,Summer,Q3
8,2014,September,10288409.0,10.29,Autumn,Q3
9,2014,October,10746115.0,10.75,Autumn,Q4
10,2014,November,10545021.0,10.55,Autumn,Q4
11,2014,December,9462591.0,9.46,Winter,Q4
12,2015,January,9577528.0,9.58,Winter,Q1
13,2015,February,9596458.0,9.6,Winter,Q1
14,2015,March,10543380.0,10.54,Spring,Q1
15,2015,April,10041339.0,10.04,Spring,Q2
16,2015,May,9371545.0,9.37,Spring,Q2
17,2015,June,9470674.0,9.47,Summer,Q2
18,2015,July,10317027.0,10.32,Summer,Q3
19,2015,August,9537133.0,9.54,Summer,Q3
20,2015,September,10979884.0,10.98,Autumn,Q3
21,2015,October,11432628.0,11.43,Autumn,Q4
22,2015,November,11052013.0,11.05,Autumn,Q4
23,2015,December,10172946.0,10.17,Winter,Q4
24,2016,January,9857291.0,9.86,Winter,Q1
25,2016,February,10700553.0,10.7,Winter,Q1
26,2016,March,10701987.0,10.7,Spring,Q1
27,2016,April,11091977.0,11.09,Spring,Q2
28,2016,May,10825747.0,10.83,Spring,Q2
29,2016,June,9957220.0,9.96,Summer,Q2
30,2016,July,10480109.0,10.48,Summer,Q3
31,2016,August,10243169.0,10.24,Summer,Q3
32,2016,September,8559909.0,8.56,Autumn,Q3
33,2016,October,11236567.0,11.24,Autumn,Q4
34,2016,November,11318902.0,11.32,Autumn,Q4
35,2016,December,10403922.0,10.4,Winter,Q4
36,2017,January,10468427.0,10.47,Winter,Q1
37,2017,February,10718425.0,10.72,Winter,Q1
38,2017,March,12051139.0,12.05,Spring,Q1
39,2017,April,10841832.0,10.84,Spring,Q2
40,2017,May,11771832.0,11.77,Spring,Q2
41,2017,June,10986482.0,10.99,Summer,Q2
42,2017,July,11629833.0,11.63,Summer,Q3
43,2017,August,11342248.0,11.34,Summer,Q3
44,2017,September,12432529.0,12.43,Autumn,Q3
45,2017,October,12546921.0,12.55,Autumn,Q4
46,2017,November,13024610.0,13.02,Autumn,Q4
47,2017,December,11163861.0,11.16,Winter,Q4
48,2018,January,11419534.0,11.42,Winter,Q1
49,2018,February,11279304.0,11.28,Winter,Q1
50,2018,March,11067489.0,11.07,Spring,Q1
51,2018,April,12046319.0,12.05,Spring,Q2
52,2018,May,12737152.0,12.74,Spring,Q2
53,2018,June,11490525.0,11.49,Summer,Q2
54,2018,July,12074231.0,12.07,Summer,Q3
55,2018,August,11679839.0,11.68,Summer,Q3
56,2018,September,12448501.0,12.45,Autumn,Q3
57,2018,October,13240113.0,13.24,Autumn,Q4
58,2018,November,12765522.0,12.77,Autumn,Q4
59,2018,December,10855955.0,10.86,Winter,Q4
60,2019,January,11216738.0,11.22,Winter,Q1
61,2019,February,11107751.0,11.11,Winter,Q1
62,2019,March,11959588.0,11.96,Spring,Q1
63,2019,April,11285530.0,11.29,Spring,Q2
64,2019,May,11811474.0,11.81,Spring,Q2
65,2019,June,10569888.0,10.57,Summer,Q2
66,2019,July,11760960.0,11.76,Summer,Q3
67,2019,August,10931243.0,10.93,Summer,Q3
68,2019,September,11898080.0,11.9,Autumn,Q3
69,2019,October,12611911.0,12.61,Autumn,Q4
70,2019,November,12239821.0,12.24,Autumn,Q4
71,2019,December,10917996.0,10.92,Winter,Q4
72,2020,January,11501632.0,11.5,Winter,Q1
73,2020,February,11510850.0,11.51,Winter,Q1
74,2020,March,6606702.0,6.61,Spring,Q1
75,2020,April,1467736.0,1.47,Spring,Q2
76,2020,May,2192361.0,2.19,Spring,Q2
77,2020,June,3544895.0,3.54,Summer,Q2
78,2020,July,5224212.0,5.22,Summer,Q3
79,2020,August,5418671.0,5.42,Summer,Q3
80,2020,September,6024417.0,6.02,Autumn,Q3
81,2020,October,5296571.0,5.3,Autumn,Q4
82,2020,November,4449595.0,4.45,Autumn,Q4
83,2020,December,5689784.0,5.69,Winter,Q4
84,2021,January,2785900.0,2.79,Winter,Q1
85,2021,February,2921923.0,2.92,Winter,Q1
86,2021,March,3839607.0,3.84,Spring,Q1
87,2021,April,4210958.0,4.21,Spring,Q2
88,2021,May,5284722.0,5.28,Spring,Q2
89,2021,June,6042584.0,6.04,Summer,Q2
90,2021,July,6289956.0,6.29,Summer,Q3
91,2021,August,6480609.0,6.48,Summer,Q3
92,2021,September,7823189.0,7.82,Autumn,Q3
93,2021,October,8519740.0,8.52,Autumn,Q4
94,2021,November,8549355.0,8.55,Autumn,Q4
95,2021,December,7179968.0,7.18,Winter,Q4
96,2022,January,7100719.241,7.1,Winter,Q1
97,2022,February,7888541.999,7.89,Winter,Q1
98,2022,March,9368847.436,9.37,Spring,Q1
99,2022,April,9201677.318,9.2,Spring,Q2
100,2022,May,10142950.74,10.14,Spring,Q2
101,2022,June,10046619.72,10.05,Summer,Q2
102,2022,July,10304252.87,10.3,Summer,Q3
103,2022,August,10445063.39,10.45,Summer,Q3
104,2022,September,11650000.94,11.65,Autumn,Q3
105,2022,October,12275823.63,12.28,Autumn,Q4
106,2022,November,12217747.11,12.22,Autumn,Q4
107,2022,December,10747395.06,10.75,Winter,Q4
