,Year,Month,Passengers (Mn.),Season,Date,Date (Int)
0,2014,January,8.99,Winter,2014-01-01,735234
1,2014,February,9.12,Winter,2014-02-01,735265
2,2014,March,10.33,Spring,2014-03-01,735293
3,2014,April,9.65,Spring,2014-04-01,735324
4,2014,May,9.44,Spring,2014-05-01,735354
5,2014,June,9.1,Summer,2014-06-01,735385
6,2014,July,9.25,Summer,2014-07-01,735415
7,2014,August,9.35,Summer,2014-08-01,735446
8,2014,September,10.29,Autumn,2014-09-01,735477
9,2014,October,10.75,Autumn,2014-10-01,735507
10,2014,November,10.55,Autumn,2014-11-01,735538
11,2014,December,9.46,Winter,2014-12-01,735568
12,2015,January,9.58,Winter,2015-01-01,735599
13,2015,February,9.6,Winter,2015-02-01,735630
14,2015,March,10.54,Spring,2015-03-01,735658
15,2015,April,10.04,Spring,2015-04-01,735689
16,2015,May,9.37,Spring,2015-05-01,735719
17,2015,June,9.47,Summer,2015-06-01,735750
18,2015,July,10.32,Summer,2015-07-01,735780
19,2015,August,9.54,Summer,2015-08-01,735811
20,2015,September,10.98,Autumn,2015-09-01,735842
21,2015,October,11.43,Autumn,2015-10-01,735872
22,2015,November,11.05,Autumn,2015-11-01,735903
23,2015,December,10.17,Winter,2015-12-01,735933
24,2016,January,9.86,Winter,2016-01-01,735964
25,2016,February,10.7,Winter,2016-02-01,735995
26,2016,March,10.7,Spring,2016-03-01,736024
27,2016,April,11.09,Spring,2016-04-01,736055
28,2016,May,10.83,Spring,2016-05-01,736085
29,2016,June,9.96,Summer,2016-06-01,736116
30,2016,July,10.48,Summer,2016-07-01,736146
31,2016,August,10.24,Summer,2016-08-01,736177
32,2016,September,8.56,Autumn,2016-09-01,736208
33,2016,October,11.24,Autumn,2016-10-01,736238
34,2016,November,11.32,Autumn,2016-11-01,736269
35,2016,December,10.4,Winter,2016-12-01,736299
36,2017,January,10.47,Winter,2017-01-01,736330
37,2017,February,10.72,Winter,2017-02-01,736361
38,2017,March,12.05,Spring,2017-03-01,736389
39,2017,April,10.84,Spring,2017-04-01,736420
40,2017,May,11.77,Spring,2017-05-01,736450
41,2017,June,10.99,Summer,2017-06-01,736481
42,2017,July,11.63,Summer,2017-07-01,736511
43,2017,August,11.34,Summer,2017-08-01,736542
44,2017,September,12.43,Autumn,2017-09-01,736573
45,2017,October,12.55,Autumn,2017-10-01,736603
46,2017,November,13.02,Autumn,2017-11-01,736634
47,2017,December,11.16,Winter,2017-12-01,736664
48,2018,January,11.42,Winter,2018-01-01,736695
49,2018,February,11.28,Winter,2018-02-01,736726
50,2018,March,11.07,Spring,2018-03-01,736754
51,2018,April,12.05,Spring,2018-04-01,736785
52,2018,May,12.74,Spring,2018-05-01,736815
53,2018,June,11.49,Summer,2018-06-01,736846
54,2018,July,12.07,Summer,2018-07-01,736876
55,2018,August,11.68,Summer,2018-08-01,736907
56,2018,September,12.45,Autumn,2018-09-01,736938
57,2018,October,13.24,Autumn,2018-10-01,736968
58,2018,November,12.77,Autumn,2018-11-01,736999
59,2018,December,10.86,Winter,2018-12-01,737029
60,2019,January,11.22,Winter,2019-01-01,737060
61,2019,February,11.11,Winter,2019-02-01,737091
62,2019,March,11.96,Spring,2019-03-01,737119
63,2019,April,11.29,Spring,2019-04-01,737150
64,2019,May,11.81,Spring,2019-05-01,737180
65,2019,June,10.57,Summer,2019-06-01,737211
66,2019,July,11.76,Summer,2019-07-01,737241
67,2019,August,10.93,Summer,2019-08-01,737272
68,2019,September,11.9,Autumn,2019-09-01,737303
69,2019,October,12.61,Autumn,2019-10-01,737333
70,2019,November,12.24,Autumn,2019-11-01,737364
71,2019,December,10.92,Winter,2019-12-01,737394
