"STATISTIC","Statistic Label","TLIST(A1)","Year","C01885V02316","Month","UNIT","VALUE"
"TOA11C01","Red line","2018","2018","01","January","Number","1664495"
"TOA11C01","Red line","2018","2018","02","February","Number","1657562"
"TOA11C01","Red line","2018","2018","03","March","Number","1661098"
"TOA11C01","Red line","2018","2018","04","April","Number","1794424"
"TOA11C01","Red line","2018","2018","05","May","Number","1934553"
"TOA11C01","Red line","2018","2018","06","June","Number","1822500"
"TOA11C01","Red line","2018","2018","07","July","Number","1841184"
"TOA11C01","Red line","2018","2018","08","August","Number","1730239"
"TOA11C01","Red line","2018","2018","09","September","Number","1810919"
"TOA11C01","Red line","2018","2018","10","October","Number","2018390"
"TOA11C01","Red line","2018","2018","11","November","Number","2047747"
"TOA11C01","Red line","2018","2018","12","December","Number","1854156"
"TOA11C01","Red line","2018","2018","-","All months","Number","21837268"
"TOA11C01","Red line","2019","2019","01","January","Number","1747263"
"TOA11C01","Red line","2019","2019","02","February","Number","1846358"
"TOA11C01","Red line","2019","2019","03","March","Number","2052087"
"TOA11C01","Red line","2019","2019","04","April","Number","1916485"
"TOA11C01","Red line","2019","2019","05","May","Number","1992879"
"TOA11C01","Red line","2019","2019","06","June","Number","1918687"
"TOA11C01","Red line","2019","2019","07","July","Number","2099060"
"TOA11C01","Red line","2019","2019","08","August","Number","1932572"
"TOA11C01","Red line","2019","2019","09","September","Number","2049264"
"TOA11C01","Red line","2019","2019","10","October","Number","2231185"
"TOA11C01","Red line","2019","2019","11","November","Number","2225847"
"TOA11C01","Red line","2019","2019","12","December","Number","2034057"
"TOA11C01","Red line","2019","2019","-","All months","Number","24045744"
"TOA11C01","Red line","2020","2020","01","January","Number","1858367"
"TOA11C01","Red line","2020","2020","02","February","Number","1867159"
"TOA11C01","Red line","2020","2020","03","March","Number","1011517"
"TOA11C01","Red line","2020","2020","04","April","Number","139275"
"TOA11C01","Red line","2020","2020","05","May","Number","216344"
"TOA11C01","Red line","2020","2020","06","June","Number","411810"
"TOA11C01","Red line","2020","2020","07","July","Number","673121"
"TOA11C01","Red line","2020","2020","08","August","Number","770756"
"TOA11C01","Red line","2020","2020","09","September","Number","771302"
"TOA11C01","Red line","2020","2020","10","October","Number","669016"
"TOA11C01","Red line","2020","2020","11","November","Number","534799"
"TOA11C01","Red line","2020","2020","12","December","Number","803723"
"TOA11C01","Red line","2020","2020","-","All months","Number","9727187"
"TOA11C01","Red line","2021","2021","01","January","Number","352365"
"TOA11C01","Red line","2021","2021","02","February","Number","355048"
"TOA11C01","Red line","2021","2021","03","March","Number","452062"
"TOA11C01","Red line","2021","2021","04","April","Number","493663"
"TOA11C01","Red line","2021","2021","05","May","Number","709791"
"TOA11C01","Red line","2021","2021","06","June","Number","911520"
"TOA11C01","Red line","2021","2021","07","July","Number","981765"
"TOA11C01","Red line","2021","2021","08","August","Number","988157"
"TOA11C01","Red line","2021","2021","09","September","Number","1089179"
"TOA11C01","Red line","2021","2021","10","October","Number","1242676"
"TOA11C01","Red line","2021","2021","11","November","Number","1321130"
"TOA11C01","Red line","2021","2021","12","December","Number","1142937"
"TOA11C01","Red line","2021","2021","-","All months","Number","10040293"
"TOA11C01","Red line","2022","2022","01","January","Number","969269"
"TOA11C01","Red line","2022","2022","02","February","Number","1175851"
"TOA11C01","Red line","2022","2022","03","March","Number","1412504"
"TOA11C01","Red line","2022","2022","04","April","Number","1462424"
"TOA11C01","Red line","2022","2022","05","May","Number","1604768"
"TOA11C01","Red line","2022","2022","06","June","Number","1720853"
"TOA11C01","Red line","2022","2022","07","July","Number","1712030"
"TOA11C01","Red line","2022","2022","08","August","Number","1744936"
"TOA11C01","Red line","2022","2022","09","September","Number","1981078"
"TOA11C01","Red line","2022","2022","10","October","Number","2155385"
"TOA11C01","Red line","2022","2022","11","November","Number","2277974"
"TOA11C01","Red line","2022","2022","12","December","Number","2058002"
"TOA11C01","Red line","2022","2022","-","All months","Number","20275074"
"TOA11C02","Green line","2018","2018","01","January","Number","1554153"
"TOA11C02","Green line","2018","2018","02","February","Number","1460727"
"TOA11C02","Green line","2018","2018","03","March","Number","1436472"
"TOA11C02","Green line","2018","2018","04","April","Number","1555631"
"TOA11C02","Green line","2018","2018","05","May","Number","1687785"
"TOA11C02","Green line","2018","2018","06","June","Number","1556250"
"TOA11C02","Green line","2018","2018","07","July","Number","1649329"
"TOA11C02","Green line","2018","2018","08","August","Number","1633035"
"TOA11C02","Green line","2018","2018","09","September","Number","1676454"
"TOA11C02","Green line","2018","2018","10","October","Number","1901587"
"TOA11C02","Green line","2018","2018","11","November","Number","1969820"
"TOA11C02","Green line","2018","2018","12","December","Number","1918456"
"TOA11C02","Green line","2018","2018","-","All months","Number","19999700"
"TOA11C02","Green line","2019","2019","01","January","Number","1911221"
"TOA11C02","Green line","2019","2019","02","February","Number","1881251"
"TOA11C02","Green line","2019","2019","03","March","Number","2017037"
"TOA11C02","Green line","2019","2019","04","April","Number","1910278"
"TOA11C02","Green line","2019","2019","05","May","Number","2010593"
"TOA11C02","Green line","2019","2019","06","June","Number","1832037"
"TOA11C02","Green line","2019","2019","07","July","Number","2031550"
"TOA11C02","Green line","2019","2019","08","August","Number","1848823"
"TOA11C02","Green line","2019","2019","09","September","Number","2117538"
"TOA11C02","Green line","2019","2019","10","October","Number","2271134"
"TOA11C02","Green line","2019","2019","11","November","Number","2270870"
"TOA11C02","Green line","2019","2019","12","December","Number","2199155"
"TOA11C02","Green line","2019","2019","-","All months","Number","24301487"
"TOA11C02","Green line","2020","2020","01","January","Number","1940809"
"TOA11C02","Green line","2020","2020","02","February","Number","1903333"
"TOA11C02","Green line","2020","2020","03","March","Number","939226"
"TOA11C02","Green line","2020","2020","04","April","Number","89358"
"TOA11C02","Green line","2020","2020","05","May","Number","152570"
"TOA11C02","Green line","2020","2020","06","June","Number","350566"
"TOA11C02","Green line","2020","2020","07","July","Number","620358"
"TOA11C02","Green line","2020","2020","08","August","Number","698594"
"TOA11C02","Green line","2020","2020","09","September","Number","763488"
"TOA11C02","Green line","2020","2020","10","October","Number","656545"
"TOA11C02","Green line","2020","2020","11","November","Number","489420"
"TOA11C02","Green line","2020","2020","12","December","Number","844601"
"TOA11C02","Green line","2020","2020","-","All months","Number","9448869"
"TOA11C02","Green line","2021","2021","01","January","Number","276338"
"TOA11C02","Green line","2021","2021","02","February","Number","288432"
"TOA11C02","Green line","2021","2021","03","March","Number","384872"
"TOA11C02","Green line","2021","2021","04","April","Number","446763"
"TOA11C02","Green line","2021","2021","05","May","Number","656776"
"TOA11C02","Green line","2021","2021","06","June","Number","800627"
"TOA11C02","Green line","2021","2021","07","July","Number","839771"
"TOA11C02","Green line","2021","2021","08","August","Number","895343"
"TOA11C02","Green line","2021","2021","09","September","Number","1133233"
"TOA11C02","Green line","2021","2021","10","October","Number","1282900"
"TOA11C02","Green line","2021","2021","11","November","Number","1325204"
"TOA11C02","Green line","2021","2021","12","December","Number","1110766"
"TOA11C02","Green line","2021","2021","-","All months","Number","9441025"
"TOA11C02","Green line","2022","2022","01","January","Number","841008"
"TOA11C02","Green line","2022","2022","02","February","Number","1056223"
"TOA11C02","Green line","2022","2022","03","March","Number","1265085"
"TOA11C02","Green line","2022","2022","04","April","Number","1256819"
"TOA11C02","Green line","2022","2022","05","May","Number","1447252"
"TOA11C02","Green line","2022","2022","06","June","Number","1464477"
"TOA11C02","Green line","2022","2022","07","July","Number","1550461"
"TOA11C02","Green line","2022","2022","08","August","Number","1547295"
"TOA11C02","Green line","2022","2022","09","September","Number","1830015"
"TOA11C02","Green line","2022","2022","10","October","Number","2063739"
"TOA11C02","Green line","2022","2022","11","November","Number","2097731"
"TOA11C02","Green line","2022","2022","12","December","Number","1972696"
"TOA11C02","Green line","2022","2022","-","All months","Number","18392801"
"TOA11C03","All Luas lines","2018","2018","01","January","Number","3218649"
"TOA11C03","All Luas lines","2018","2018","02","February","Number","3118289"
"TOA11C03","All Luas lines","2018","2018","03","March","Number","3097570"
"TOA11C03","All Luas lines","2018","2018","04","April","Number","3350056"
"TOA11C03","All Luas lines","2018","2018","05","May","Number","3622338"
"TOA11C03","All Luas lines","2018","2018","06","June","Number","3378751"
"TOA11C03","All Luas lines","2018","2018","07","July","Number","3490513"
"TOA11C03","All Luas lines","2018","2018","08","August","Number","3363274"
"TOA11C03","All Luas lines","2018","2018","09","September","Number","3487373"
"TOA11C03","All Luas lines","2018","2018","10","October","Number","3919977"
"TOA11C03","All Luas lines","2018","2018","11","November","Number","4017567"
"TOA11C03","All Luas lines","2018","2018","12","December","Number","3772612"
"TOA11C03","All Luas lines","2018","2018","-","All months","Number","41836968"
"TOA11C03","All Luas lines","2019","2019","01","January","Number","3658484"
"TOA11C03","All Luas lines","2019","2019","02","February","Number","3727609"
"TOA11C03","All Luas lines","2019","2019","03","March","Number","4069124"
"TOA11C03","All Luas lines","2019","2019","04","April","Number","3826763"
"TOA11C03","All Luas lines","2019","2019","05","May","Number","4003472"
"TOA11C03","All Luas lines","2019","2019","06","June","Number","3750724"
"TOA11C03","All Luas lines","2019","2019","07","July","Number","4130610"
"TOA11C03","All Luas lines","2019","2019","08","August","Number","3781395"
"TOA11C03","All Luas lines","2019","2019","09","September","Number","4166802"
"TOA11C03","All Luas lines","2019","2019","10","October","Number","4502319"
"TOA11C03","All Luas lines","2019","2019","11","November","Number","4496717"
"TOA11C03","All Luas lines","2019","2019","12","December","Number","4233212"
"TOA11C03","All Luas lines","2019","2019","-","All months","Number","48347231"
"TOA11C03","All Luas lines","2020","2020","01","January","Number","3799176"
"TOA11C03","All Luas lines","2020","2020","02","February","Number","3770492"
"TOA11C03","All Luas lines","2020","2020","03","March","Number","1950743"
"TOA11C03","All Luas lines","2020","2020","04","April","Number","228633"
"TOA11C03","All Luas lines","2020","2020","05","May","Number","368914"
"TOA11C03","All Luas lines","2020","2020","06","June","Number","762376"
"TOA11C03","All Luas lines","2020","2020","07","July","Number","1293479"
"TOA11C03","All Luas lines","2020","2020","08","August","Number","1469350"
"TOA11C03","All Luas lines","2020","2020","09","September","Number","1534789"
"TOA11C03","All Luas lines","2020","2020","10","October","Number","1325561"
"TOA11C03","All Luas lines","2020","2020","11","November","Number","1024219"
"TOA11C03","All Luas lines","2020","2020","12","December","Number","1648324"
"TOA11C03","All Luas lines","2020","2020","-","All months","Number","19176056"
"TOA11C03","All Luas lines","2021","2021","01","January","Number","628704"
"TOA11C03","All Luas lines","2021","2021","02","February","Number","643480"
"TOA11C03","All Luas lines","2021","2021","03","March","Number","836934"
"TOA11C03","All Luas lines","2021","2021","04","April","Number","940426"
"TOA11C03","All Luas lines","2021","2021","05","May","Number","1366567"
"TOA11C03","All Luas lines","2021","2021","06","June","Number","1712148"
"TOA11C03","All Luas lines","2021","2021","07","July","Number","1821536"
"TOA11C03","All Luas lines","2021","2021","08","August","Number","1883500"
"TOA11C03","All Luas lines","2021","2021","09","September","Number","2222412"
"TOA11C03","All Luas lines","2021","2021","10","October","Number","2525575"
"TOA11C03","All Luas lines","2021","2021","11","November","Number","2646334"
"TOA11C03","All Luas lines","2021","2021","12","December","Number","2253703"
"TOA11C03","All Luas lines","2021","2021","-","All months","Number","19481318"
"TOA11C03","All Luas lines","2022","2022","01","January","Number","1810277"
"TOA11C03","All Luas lines","2022","2022","02","February","Number","2232074"
"TOA11C03","All Luas lines","2022","2022","03","March","Number","2677589"
"TOA11C03","All Luas lines","2022","2022","04","April","Number","2719243"
"TOA11C03","All Luas lines","2022","2022","05","May","Number","3052020"
"TOA11C03","All Luas lines","2022","2022","06","June","Number","3185330"
"TOA11C03","All Luas lines","2022","2022","07","July","Number","3262491"
"TOA11C03","All Luas lines","2022","2022","08","August","Number","3292231"
"TOA11C03","All Luas lines","2022","2022","09","September","Number","3811093"
"TOA11C03","All Luas lines","2022","2022","10","October","Number","4219124"
"TOA11C03","All Luas lines","2022","2022","11","November","Number","4375705"
"TOA11C03","All Luas lines","2022","2022","12","December","Number","4030698"
"TOA11C03","All Luas lines","2022","2022","-","All months","Number","38667875"
